Ident,Influence,Reach,Buzz,In.Deg,RTS,MTS,UIS
odersky_17765013,20.63506725,0.04151925,497,8975,1411,606,206
jboner_18160154,18.021003,0.022639451,796,2484,1802,243,760
debasishg_6562002,17.28137731,0.021710273,796,1557,1552,215,1138
jamesiry_19044984,14.80253284,0.020616341,718,1053,2005,71,985
viktorklang_52061552,10.51330919,0.015668121,671,1681,1125,266,1394
typesafe_16602164,9.94544775,0.015786425,630,3005,1770,454,112
jsuereth_19418890,8.697326286,0.018387582,473,1228,504,253,959
etorreborre_14622451,8.6293387,0.01287961,670,1082,1120,154,668
djspiewak_6586332,7.57916642,0.018396035,412,1902,492,192,1175
fogus_14375110,7.432826302,0.010085246,737,1067,1046,104,1275
JorgeO_6001592,6.339681671,0.013692617,463,782,620,105,1627
dcsobral_26864569,6.31920503,0.010710517,590,586,639,61,669
psnively_45966787,6.254712466,0.013567706,461,914,571,141,703
mariofusco_142589904,5.91499062,0.007681806,770,1038,1355,79,334
mfeathers_14253068,5.884313265,0.008795685,669,1059,794,143,1140
rit_5961382,5.358466542,0.010695542,501,717,585,187,1185
puredanger_14569541,5.161707012,0.016758789,308,1209,377,96,597
timperrett_15123574,4.860660452,0.010543732,461,794,526,78,871
al3x_18713,4.35322431,0.01618299,269,1468,272,71,1376
milessabin_29444566,4.351906432,0.015999656,272,1052,351,143,741
runarorama_7773542,4.201793232,0.011174982,376,758,507,130,618
rickasaurus_16377511,4.063850622,0.005788961,702,428,1086,96,1244
PLT_Hulk_484936561,4.0457626,0.007355932,550,291,797,43,110
hseeberger_19757713,3.66489423,0.01520703,241,1179,283,95,334
_JamesWard_799616,2.942208576,0.010216002,288,817,368,132,201
jamie_allen_16935750,2.819062332,0.009212622,306,333,370,91,750
channingwalton_17779075,2.385140989,0.007476931,319,424,325,54,1054
nuttycom_16436452,2.224461308,0.011832241,188,468,202,18,346
venkat_s_14429713,2.1436899,0.007795236,275,993,320,224,643
Sadache_15467458,1.9674889,0.007567265,260,497,309,70,318
missingfaktor_56127471,1.924965735,0.005612145,343,367,414,79,755
jaykreps_126226388,1.847991086,0.004825042,383,415,465,48,286
tlockney_1941471,1.79707884,0.00880921,204,354,233,101,1071
wfaler_15590193,1.642978899,0.003279399,501,260,786,76,801
mraible_14212316,1.515351847,0.006287767,241,888,339,47,245
dnene_12526082,1.351090438,0.005137226,263,334,263,50,678
peterseibel_40684667,1.202204409,0.006569423,183,390,282,5,261
heathercmiller_22874473,1.13273952,0.00858136,132,469,177,29,53
mtnygard_15096652,1.083724546,0.007631863,142,540,170,42,567
Stephan007_6183202,1.070770898,0.007091198,151,482,153,52,153
mrt1nz_15295946,1.012018432,0.006658016,152,551,189,24,92
eed3si9n_162283,1.00001755,0.006329225,158,307,174,15,185
ScalaIDE_117884044,0.922786066,0.006111166,151,1048,244,47,44
lambda_calculus_223923566,0.884792727,0.004681443,189,350,204,3,89
playframework_17196443,0.868546728,0.006893228,126,1708,334,215,55
matkar_23348736,0.865516574,0.005477953,158,289,124,62,828
sampullara_668473,0.842105628,0.005398113,156,354,127,16,1539
al3xandru_14094468,0.782011672,0.004030988,194,489,248,14,617
markhneedham_14707949,0.741736912,0.003784372,196,280,213,26,593
ewolff_15058614,0.63262941,0.00314741,201,303,208,57,567
coursera_352053266,0.595527336,0.002611962,228,1249,231,1801,336
OReillyMedia_11069462,0.398662066,0.001907474,209,600,262,351,326
steveonjava_16739757,0.342037908,0.002780796,123,309,134,104,109
javarebel_19993505,0.249168403,0.002059243,121,394,113,91,53
flowchainsensei_42469463,0,0,434,151,499,51,356
yuroyoro_6310812,0,0,346,197,393,17,113
xuwei_k_181214200,0,0,317,173,375,105,416
moonpolysoft_14204623,0,0,280,188,326,36,726
honzam399_29976216,0,0,254,242,307,50,373
timfox_15982247,0,0,239,237,287,37,748
jonharrop_205343190,0,0,223,167,227,32,580
lizardbill_60919433,0,0,216,149,209,20,498
ikeike443_18828462,0,0,209,90,227,32,188
jessitron_25103,0,0,200,170,232,25,631
gridgain_180163685,0,0,199,184,218,100,184
kmizu_4027691,0,0,192,228,214,39,497
msimoni_14466330,0,0,191,227,249,29,624
pcalcado_10224712,0,0,181,203,190,28,302
bsletten_9630822,0,0,166,144,141,29,1314
mandubian_200653266,0,0,165,114,174,28,420
mrspeaker_735633,0,0,159,82,179,20,171
bascule_6083342,0,0,156,214,161,38,920
clementd_12844902,0,0,155,59,165,51,875
jroper_15177704,0,0,155,142,231,19,613
kaleidic_16911769,0,0,152,185,150,53,972
SethTisue_137840520,0,0,150,229,187,33,127
normanmaurer_164217471,0,0,142,106,147,15,655
capotej_8898642,0,0,141,87,122,24,1031
jedws_229285768,0,0,141,155,161,28,897
mitchellh_12819682,0,0,139,141,126,25,1135
ashalynd_17307627,0,0,137,77,115,3,497
halcat0x15a_146781441,0,0,133,110,128,18,242
tototoshi_28973601,0,0,130,87,140,19,231
dsetrakyan_24852827,0,0,128,36,141,20,34
d6_8041522,0,0,125,140,180,47,756
greweb_103658797,0,0,123,84,110,18,219
AnaisatSM_467310824,0,0,123,44,131,13,233
xeno_by_181862144,0,0,122,243,152,22,159
sforkmann_22477880,0,0,121,87,138,45,360
develsas_258568134,0,0,118,63,119,56,289
